External_ID	Internal_ID
1130827	22156
1194418	22155
1108972	22154
1104678	22152
1095103	22151
324925	22150
319225	22149
290315	22147
1231626	22146
2908645	22144
3350167	22143
3386644	22142
3379128	22141
3231511	22140
3094839	22136
3093923	22135
3031803	22133
2983267	22131
2966625	22130
2864040	22125
2856522	22124
2838877	22123
2825845	22122
2778077	22121
2745153	22120
2713414	22119
2594269	22118
2487065	22117
2487064	22116
2487063	22115
2478663	22114
1871047	22110
1033900	22108
878220	22107
331104	22106
1072467	22105
1074889	22103
1460373	22102
1100833	22099
1262673	22097
1144281	22096
1032845	22094
547048	22093
1406314	22092
1392499	22091
1328325	22090
1308539	22088
1226680	22087
1225181	22086
1193292	22085
1087440	22081
484021	22080
272620	22079
3077956	22078
3077954	22077
572265	22075
2681987	22070
2681986	22069
1505596	22067
700220	22066
859654	22064
629260	22060
264451	22055
103796	22054
205918	22048
65093	22047
862259	22044
436113	22043
865867	22042
272632	22041
455632	22040
413996	22036
410289	22035
1147161	22034
1232554	22033
3391614	22032
761659	22030
309807	22029
762570	22028
518766	22027
1191523	22026
2651167	22025
34090	22022
1100	22021
1096	22020
1094	22019
1092	22018
2976335	22017
517417	22016
2992244	22014
2992243	22013
2992242	22012
1868325	22010
290512	22008
760192	22007
3231911	22006
3023936	22004
984262	22003
3042318	22002
1968839	22000
1751071	21998
575378	21997
929713	21996
3137178	21994
2952571	21989
2033437	21987
485918	21986
649349	21985
2916755	21984
1166018	21982
3088362	21981
471854	21978
761193	21976
643867	21975
3344876	21974
3127471	21972
3127470	21971
3074898	21968
2571030	21967
2987689	21965
2987688	21964
2932250	21961
2835648	21960
2714932	21959
2675878	21958
2675877	21957
2584940	21955
1484118	21954
1385664	21953
1385663	21952
3077941	21948
3066216	21947
650378	21945
3097546	21940
2705473	21938
866536	21937
2038411	21935
1191459	21934
269798	21933
2894082	21931
2745947	21930
2520506	21929
2060723	21928
1573823	21927
411477	21924
999416	21923
435591	21922
1307833	21921
1307832	21920
203275	21919
694427	21918
2023866	21917
2714927	21916
2751153	21914
1965590	21913
2025876	21926
2530392	21910
762982	21904
264731	21903
2937774	21902
2913620	21900
2691580	21898
652716	21896
1236518	21895
1236517	21894
908937	21893
553174	21891
1122984	21890
246198	21889
767031	21888
2268026	21977
712435	21887
879243	21886
1403338	21885
1403336	21884
1403335	21883
1030843	21882
431947	21881
242619	21880
1760811	21879
3132707	21878
2662363	21877
1211813	21876
679935	21870
667015	21869
435590	21867
3117552	21866
3096000	21865
702439	21892
2972761	21864
2785531	21862
2755405	21860
2709390	21859
2162637	21857
556259	21855
657309	21854
693979	21853
162156	21852
997873	21851
449673	21850
1379690	21849
997890	21848
862962	21845
295405	21844
272559	21843
762903	21842
3341726	21841
3383180	21839
3243060	21837
3141542	21836
3138568	21835
3138567	21834
3025671	21831
2778902	21828
2592345	21823
3234142	21820
3149230	21819
3140251	21818
2856523	21816
2714940	21815
2578106	21814
2482728	21813
1727164	21812
485917	21811
3382150	21810
3058432	21807
3031802	21806
2996035	21805
2986767	21804
2961941	21803
2931400	21802
2713573	21798
2557994	21797
2003121	21796
341027	21793
2878534	21791
2852098	21790
2820270	21789
1241979	21785
266749	21784
266748	21783
2855442	21782
3042315	21779
2983606	21778
2956784	21777
2759528	21774
2754694	21773
2593645	21772
2547600	21771
2497456	21770
1854498	21769
1813611	21768
1685010	21767
1609531	21766
1493872	21765
1324352	21764
1265445	21763
1241982	21762
1241978	21760
651561	21757
2764720	21824
536441	21755
373672	21753
192389	21752
112234	21751
254	21749
253	21748
250	21747
246	21746
3103144	21745
2704652	21744
2704651	21743
2656761	21742
2656760	21741
2976818	21740
2796140	21739
1352940	21736
1338011	21735
1455062	21732
1354240	21731
1228997	21729
992406	21728
913239	21727
693978	21726
1401325	21725
755732	21722
3066219	21721
3391574	21719
2562285	21717
2908210	21713
2976768	21711
2937786	21710
1454006	21706
3114359	21705
2027857	21703
3228750	21702
3158549	21700
2905121	21699
886377	21697
2109944	21695
2109943	21694
3015170	21693
3015168	21692
2779359	21691
1453352	21688
2779360	21687
754429	21686
1170699	21685
2916754	21684
2719911	21683
2058134	21681
592029	21677
2918526	21676
2918453	21675
3028318	21673
2745560	21672
2058135	21671
3160831	21670
3093856	21669
2173169	21668
983548	21666
3160832	21663
2705471	21661
1250205	21660
1229726	21659
983544	21655
3160830	21652
2949996	21651
2736252	21650
1714860	21649
1714848	21647
3093872	21644
2929510	21643
2749995	21642
754409	21639
3160833	21637
3141460	21635
2719912	21634
3135773	21633
3093873	21632
2686366	21631
2686365	21630
3093871	21628
3093854	21627
313603	21623
313596	21622
1336796	21621
2686363	21620
1798225	21619
1336795	21618
1336794	21617
2282170	21615
1729720	21611
3093867	21610
2908843	21609
2908842	21608
3077734	21607
2745566	21606
2745565	21605
1349785	21603
2749994	21602
2745558	21601
2686362	21600
313595	21593
1583100	21591
929704	21589
3093870	21588
2855841	21586
2806551	21585
2745561	21582
2686361	21581
1896175	21579
1312072	21575
754397	21574
313598	21573
2570561	21572
1529069	21577
2748316	21570
1945658	21568
1316596	21565
1316593	21564
860228	21563
3394146	21560
3384157	21559
3379707	21557
3234141	21556
3234140	21555
3234139	21554
3234138	21553
3234137	21552
3151764	21551
3120525	21549
3097547	21548
3092665	21547
3059026	21546
