Taxa	SRR25046362	SRR25046363	SRR25046364	SRR25046365	SRR25046366	SRR25046367	SRR25046368	SRR25046369	SRR25046370	SRR25046371	SRR25046372	SRR25046373	SRR25046374	SRR25046375	SRR25046376	SRR25046377	SRR25046378	SRR25046379	SRR25046380	SRR25046381	SRR25046382	SRR25046383	SRR25046384	SRR25046385	SRR25046386	SRR25046387	SRR25046388	SRR25046389	SRR25046390	SRR25046391	SRR25046392	SRR25046393	SRR25046394	SRR25046395	SRR25758721	SRR25758722	SRR25758723	SRR25758724	SRR25758725	SRR25758726	SRR25817569	SRR25817571	SRR25817575	SRR25817577	SRR26033659	SRR26033660	SRR26033661	SRR26033662	SRR26033663	SRR26033664	SRR26033665	SRR26033666	SRR26033667	SRR26033668	SRR26033670	SRR26033671	SRR26033672	SRR26033673	SRR26033674	SRR26033675	SRR26033676	SRR26033677	SRR26033678	SRR26033679	SRR30867382	SRR30867383	SRR30867384	SRR30867385	SRR30867386	SRR30867387	SRR30867388	SRR30867389	SRR30867390	SRR30867391	SRR30867392	SRR30867393	SRR30867394	SRR30867395	SRR30867396	SRR30867397	SRR30867398	SRR30867399	SRR30867400	SRR30867401	SRR30867402	SRR30867403	SRR30867404	SRR30867405	SRR30867406	SRR30867407	SRR30867408	SRR30867409	SRR30867410	SRR30867411	SRR30867412	SRR30867413	SRR30867414	SRR30867415	SRR30867416	SRR31800879	SRR31800880	SRR31800881	SRR31800882	SRR31800884	SRR31800885	SRR31800886	SRR31800887	SRR31800888	SRR31800889	SRR31800890	SRR31800891	SRR31800892	SRR31800893	SRR31800894	SRR31800895	SRR31800896	SRR31800899	SRR31848896	SRR31848897	SRR31848898	SRR31848899	SRR31848900	SRR31848901	SRR31848902	SRR31848903	SRR31848904	SRR31848905	SRR31848906	SRR31848907	SRR31848908	SRR31848909	SRR31848910	SRR31848911	SRR31848912	SRR31848913	SRR31848914	SRR31848915	SRR31848916	SRR31848917	SRR31848918	SRR31848919	SRR31848920	SRR31848921	SRR31848922	SRR31848923	SRR31848924	SRR31848925
d__Archaea	787	576	168	20	171	10	649	37	22	640	12	43	14	67	24	117	97	39	13	25	46	290	351	126	51	174	550	310	67	228	31	290	107	218	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	2	0	1	1	0	0	8	2	0	2	0	1	0	1	10	5	0	4	0	1	2	0	0	0	1	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota	0	0	0	0	0	0	52	0	0	465	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata	0	0	0	0	0	0	52	0	0	464	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	0	0	0	0	0	0	45	0	0	453	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	0	0	0	0	0	0	3	0	0	179	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus Methanomassiliicoccus intestinalis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanoplasma	0	0	0	0	0	0	3	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanoplasma|s__Candidatus Methanoplasma termitum	0	0	0	0	0	0	3	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota	780	565	155	20	171	10	573	36	22	130	12	39	13	63	24	115	95	39	13	25	46	285	348	126	50	173	526	303	67	221	31	284	102	214	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	2	0	1	1	0	0	5	2	0	2	0	1	0	1	10	5	0	4	0	1	2	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
