V1,V1
SRR25046362,45591191
SRR25046363,23497326
SRR25046364,5767746
SRR25046365,1188003
SRR25046366,13338795
SRR25046367,17692188
SRR25046368,15241844
SRR25046369,11180554
SRR25046370,13131878
SRR25046371,9548611
SRR25046372,15211794
SRR25046373,15518148
SRR25046374,13059083
SRR25046375,16936249
SRR25046376,14598027
SRR25046377,15779849
SRR25046378,17808880
SRR25046379,14461870
SRR25046380,16329558
SRR25046381,15652220
SRR25046382,14027000
SRR25046383,9358688
SRR25046384,11861355
SRR25046385,11438822
SRR25046386,13185205
SRR25046387,8194060
SRR25046388,51864797
SRR25046389,13245686
SRR25046390,10691482
SRR25046391,11517632
SRR25046392,14803433
SRR25046393,4801443
SRR25046394,7973462
SRR25046395,12822360
SRR25758721,25593925
SRR25758722,20697663
SRR25758723,26157154
SRR25758724,31160654
SRR25758725,26525814
SRR25758726,24769046
SRR25817569,146404039
SRR25817571,141283096
SRR25817575,79872060
SRR25817577,71293942
SRR26033659,106394509
SRR26033660,86989340
SRR26033661,54962479
SRR26033662,46775801
SRR26033663,48007802
SRR26033664,47138932
SRR26033665,32023110
SRR26033666,75261923
SRR26033667,67178947
SRR26033668,69422241
SRR26033670,54556158
SRR26033671,85652104
SRR26033672,33301510
SRR26033673,30921086
SRR26033674,30288097
SRR26033675,43072173
SRR26033676,64857032
SRR26033677,46945223
SRR26033678,34963995
SRR26033679,42011919
SRR30867382,27801659
SRR30867383,39584220
SRR30867384,50179334
SRR30867385,38897965
SRR30867386,35635368
SRR30867387,37651364
SRR30867388,45065691
SRR30867389,43152513
SRR30867390,31401836
SRR30867391,31051624
SRR30867392,38835795
SRR30867393,44198702
SRR30867394,35769920
SRR30867395,36134040
SRR30867396,64779738
SRR30867397,42935853
SRR30867398,44379341
SRR30867399,35463444
SRR30867400,32416361
SRR30867401,29512005
SRR30867402,50806635
SRR30867403,51988457
SRR30867404,43217709
SRR30867405,55586488
SRR30867406,53418516
SRR30867407,59661341
SRR30867408,51778062
SRR30867409,57177715
SRR30867410,46240628
SRR30867411,51936554
SRR30867412,55484278
SRR30867413,53071667
SRR30867414,50562622
SRR30867415,50073367
SRR30867416,54949093
SRR31800899,109448265
SRR31848896,41783233
SRR31848897,46902634
SRR31848898,37989793
SRR31848899,47148580
SRR31848900,36574402
SRR31848901,50979425
SRR31848902,43585834
SRR31848903,42706779
SRR31848904,46186705
SRR31848905,32719104
SRR31848906,43015805
SRR31848907,38384155
SRR31848908,48419889
SRR31848909,42398817
SRR31848910,34188495
SRR31848911,37047631
SRR31848912,37161933
SRR31848913,41024245
SRR31848914,42942318
SRR31848915,47009944
SRR31848916,46637266
SRR31848917,44539220
SRR31848918,38067197
SRR31848919,46736805
SRR31848920,44407705
SRR31848921,45563586
SRR31848922,37109874
SRR31848923,34497337
SRR31848924,44792550
SRR31848925,42370535
SRR31800879,142650370
SRR31800880,146304384
SRR31800881,171054960
SRR31800882,146414167
SRR31800884,181910375
SRR31800885,163436105
SRR31800886,113022472
SRR31800887,158419159
SRR31800888,172280768
SRR31800889,156988290
SRR31800890,146335892
SRR31800891,149095347
SRR31800892,169808799
SRR31800893,145672883
SRR31800894,144851646
SRR31800895,150644771
SRR31800896,167942180
