Taxa	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
d__Archaea	960	563	287	667	210	313	785	149	179	903	305	1375	403	434	916	688	884	173	332	667	579	652	503	630	634	644	324	2290	1002	439	486	520	1038	657	1967	6678	793	528	476	548
d__Archaea|p__Candidatus Korarchaeota	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Korarchaeota|g__Korarchaeum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Korarchaeota|g__Korarchaeum|s__Candidatus Korarchaeum cryptofilum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Lokiarchaeota	3	0	1	4	0	1	0	0	2	0	0	0	5	1	2	0	7	2	6	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia	3	0	1	4	0	1	0	0	2	0	0	0	5	1	2	0	7	2	6	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales	3	0	1	4	0	1	0	0	2	0	0	0	5	1	2	0	7	2	6	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales|f__Candidatus Prometheoarchaeaceae	3	0	1	4	0	1	0	0	2	0	0	0	5	1	2	0	7	2	6	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales|f__Candidatus Prometheoarchaeaceae|g__Candidatus Prometheoarchaeum	3	0	1	4	0	1	0	0	2	0	0	0	5	1	2	0	7	2	6	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales|f__Candidatus Prometheoarchaeaceae|g__Candidatus Prometheoarchaeum|s__Candidatus Prometheoarchaeum syntrophicum	3	0	1	4	0	1	0	0	2	0	0	0	5	1	2	0	7	2	6	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2
d__Archaea|p__Candidatus Micrarchaeota	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	6	1	3	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|c__Candidatus Micrarchaeia	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|c__Candidatus Micrarchaeia|o__Candidatus Micrarchaeales	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|c__Candidatus Micrarchaeia|o__Candidatus Micrarchaeales|f__Candidatus Micrarchaeaceae	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|c__Candidatus Micrarchaeia|o__Candidatus Micrarchaeales|f__Candidatus Micrarchaeaceae|g__Candidatus Micrarchaeum	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|c__Candidatus Micrarchaeia|o__Candidatus Micrarchaeales|f__Candidatus Micrarchaeaceae|g__Candidatus Micrarchaeum|s__Candidatus Micrarchaeum sp.	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|g__Candidatus Mancarchaeum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|g__Candidatus Mancarchaeum|s__Candidatus Mancarchaeum acidiphilum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales|f__Candidatus Nanohalobiaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales|f__Candidatus Nanohalobiaceae|g__Candidatus Nanohalobium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales|f__Candidatus Nanohalobiaceae|g__Candidatus Nanohalobium|s__Candidatus Nanohalobium constans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota	20	17	5	41	2	25	11	3	1	26	10	20	7	6	15	9	31	4	24	6	41	26	17	28	8	12	8	9	19	14	10	30	5	8	9	20	9	21	15	14
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata	18	16	4	39	2	25	11	3	0	23	10	19	7	6	15	9	31	2	24	6	40	26	17	22	7	12	8	7	13	14	7	29	4	8	9	19	9	21	13	14
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	11	8	4	35	1	24	7	3	0	13	6	13	6	6	8	7	20	0	23	6	3	14	15	18	5	10	6	2	7	5	5	25	4	7	7	15	6	17	7	11
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	4	3	3	26	1	23	6	3	0	7	5	2	5	1	3	6	13	0	23	3	0	11	13	17	3	3	4	1	0	4	1	5	2	4	5	13	6	12	6	8
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	3	3	3	26	1	23	5	3	0	6	5	2	4	0	0	6	12	0	23	3	0	10	13	16	3	3	4	1	0	4	1	1	1	2	5	11	6	11	6	6
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus Methanomassiliicoccus intestinalis	3	3	3	26	1	23	5	3	0	6	5	2	4	0	0	6	12	0	23	3	0	10	13	16	3	3	4	1	0	4	1	1	1	2	5	11	6	11	6	6
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanoplasma	1	0	0	0	0	0	1	0	0	1	0	0	1	1	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	0	2	0	1	0	2
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanoplasma|s__Candidatus Methanoplasma termitum	1	0	0	0	0	0	1	0	0	1	0	0	1	1	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	0	2	0	1	0	2
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae	7	5	1	9	0	1	1	0	0	6	1	11	1	5	5	1	7	0	0	3	3	3	2	1	2	7	2	1	7	1	4	19	2	3	2	2	0	5	1	3
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__Methanomethylophilus	7	5	1	9	0	1	1	0	0	6	1	11	1	5	5	1	7	0	0	3	3	3	2	1	2	7	2	1	7	1	4	19	2	3	2	2	0	5	1	3
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__Methanomethylophilus|s__Methanomethylophilus alvi	7	5	1	9	0	1	1	0	0	6	1	11	1	5	5	1	7	0	0	3	3	3	2	1	2	7	2	1	7	1	4	19	2	3	2	2	0	5	1	3
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales	7	8	0	4	1	1	4	0	0	10	4	6	1	0	7	2	11	2	1	0	37	12	2	4	2	2	2	5	6	9	2	4	0	1	2	4	3	4	6	3
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae	1	0	0	1	0	0	2	0	0	3	0	3	1	0	0	0	7	0	0	0	0	0	0	0	1	2	0	3	4	0	0	0	0	1	1	1	1	2	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma	1	0	0	1	0	0	2	0	0	3	0	3	1	0	0	0	7	0	0	0	0	0	0	0	1	2	0	3	4	0	0	0	0	1	1	1	1	2	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma|s__Cuniculiplasma divulgatum	1	0	0	1	0	0	2	0	0	3	0	3	1	0	0	0	7	0	0	0	0	0	0	0	1	2	0	3	4	0	0	0	0	1	1	1	1	2	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae	6	1	0	2	0	0	2	0	0	2	0	3	0	0	3	0	4	0	1	0	36	4	0	1	1	0	1	2	1	0	2	4	0	0	1	2	2	1	1	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Acidiplasma	3	0	0	0	0	0	1	0	0	2	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	0	1	0	1	0	0
