Taxa	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
d__Archaea	35	31	31	27	23	38	46	37	43	33	45	34	36	34	30	29	45	30	34	37	24	23	34	35	23	36	36	41	37	37	30	22	29	26	23	25	30	26	39	18
d__Archaea|p__Candidatus Korarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Archaea|p__Candidatus Korarchaeota|g__Korarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Archaea|p__Candidatus Korarchaeota|g__Korarchaeum|s__Candidatus Korarchaeum cryptofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Archaea|p__Candidatus Lokiarchaeota	0	0	1	1	0	1	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia	0	0	1	1	0	1	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales	0	0	1	1	0	1	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales|f__Candidatus Prometheoarchaeaceae	0	0	1	1	0	1	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales|f__Candidatus Prometheoarchaeaceae|g__Candidatus Prometheoarchaeum	0	0	1	1	0	1	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Lokiarchaeota|c__Candidatus Lokiarchaeia|o__Candidatus Prometheoarchaeales|f__Candidatus Prometheoarchaeaceae|g__Candidatus Prometheoarchaeum|s__Candidatus Prometheoarchaeum syntrophicum	0	0	1	1	0	1	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|g__Candidatus Mancarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Archaea|p__Candidatus Micrarchaeota|g__Candidatus Mancarchaeum|s__Candidatus Mancarchaeum acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales|f__Candidatus Nanohalobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales|f__Candidatus Nanohalobiaceae|g__Candidatus Nanohalobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Nanohaloarchaeota|c__Candidatus Nanohalobia|o__Candidatus Nanohalobiales|f__Candidatus Nanohalobiaceae|g__Candidatus Nanohalobium|s__Candidatus Nanohalobium constans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota	2	1	3	0	1	2	2	3	1	1	1	1	0	2	1	0	2	1	3	0	1	1	2	0	0	1	0	1	1	1	0	2	1	0	0	0	2	0	0	0
