"","V1","V2","V3","V4","V5","V6","V7","V8","num_hash","freq_hash"
"1",1883,"|","Streptomyces","|","","|","scientific name","|",202486071,0.0127205915253083
"2",2593676,"|","unclassified Streptomyces","|","","|","scientific name","|",183893783,0.0115525857459434
"3",286,"|","Pseudomonas","|","","|","scientific name","|",172341569,0.0108268518977769
"4",1386,"|","Bacillus","|","Bacillus <firmicutes>","|","scientific name","|",47969414,0.0030135372679655
"5",196821,"|","unclassified Pseudomonas","|","","|","scientific name","|",47138506,0.00296133791809955
"6",374,"|","Bradyrhizobium","|","","|","scientific name","|",43286858,0.00271936946730536
"7",662,"|","Vibrio","|","","|","scientific name","|",43256017,0.00271743197224067
"8",44249,"|","Paenibacillus","|","","|","scientific name","|",36994408,0.00232406481376489
"9",185978,"|","unclassified Paenibacillus","|","","|","scientific name","|",32993784,0.00207273738418409
"10",543,"|","Enterobacteriaceae","|","","|","scientific name","|",28822554,0.00181069213472043
"11",562,"|","Escherichia coli","|","","|","scientific name","|",27304752,0.00171534069072754
"12",1827,"|","Rhodococcus","|","Rhodococcus <high G+C Gram-positive bacteria>","|","scientific name","|",26986710,0.00169536063802608
"13",379,"|","Rhizobium","|","","|","scientific name","|",25997492,0.00163321592829203
"14",469,"|","Acinetobacter","|","","|","scientific name","|",25125472,0.00157843383801235
"15",338,"|","Xanthomonas","|","","|","scientific name","|",23470898,0.00147449009561836
"16",642,"|","Aeromonas","|","","|","scientific name","|",22894167,0.00143825866777372
"17",2631580,"|","unclassified Bradyrhizobium","|","","|","scientific name","|",19816557,0.00124491687645512
"18",22,"|","Shewanella","|","","|","scientific name","|",19231316,0.00120815083290409
"19",613,"|","Serratia","|","Serratia <enterobacteria>","|","scientific name","|",18798512,0.00118096119527949
"20",303,"|","Pseudomonas putida","|","","|","scientific name","|",18336012,0.00115190599384563
"21",1301,"|","Streptococcus","|","","|","scientific name","|",17668811,0.00110999105449024
"22",287,"|","Pseudomonas aeruginosa","|","","|","scientific name","|",17641715,0.00110828882802958
"23",32008,"|","Burkholderia","|","","|","scientific name","|",17623221,0.00110712699690457
"24",53246,"|","Pseudoalteromonas","|","","|","scientific name","|",17199205,0.00108048943951824
"25",544,"|","Citrobacter","|","","|","scientific name","|",17181997,0.00107940839755873
"26",547,"|","Enterobacter","|","","|","scientific name","|",16773834,0.00105376675824447
"27",1760,"|","Actinomycetes","|","","|","scientific name","|",16643795,0.00104559744075418
"28",294,"|","Pseudomonas fluorescens","|","","|","scientific name","|",15782644,0.000991498163413713
"29",358,"|","Agrobacterium tumefaciens","|","","|","scientific name","|",15470641,0.000971897493115405
"30",237,"|","Flavobacterium","|","","|","scientific name","|",15412875,0.00096826851416183
"31",210,"|","Helicobacter pylori","|","","|","scientific name","|",15150694,0.000951797764395063
"32",40323,"|","Stenotrophomonas","|","","|","scientific name","|",14955282,0.00093952158056243
"33",816,"|","Bacteroides","|","","|","scientific name","|",14678392,0.000922126781156981
"34",325217,"|","unclassified Mesorhizobium","|","","|","scientific name","|",14563011,0.000914878309380462
"35",570,"|","Klebsiella","|","","|","scientific name","|",14187843,0.000891309483842004
"36",1873,"|","Micromonospora","|","","|","scientific name","|",14126530,0.000887457675051703
"37",1716,"|","Corynebacterium","|","","|","scientific name","|",13216033,0.000830258380478899
"38",2613769,"|","unclassified Rhizobium","|","","|","scientific name","|",13004869,0.000816992623601972
"39",40324,"|","Stenotrophomonas maltophilia","|","","|","scientific name","|",12983974,0.000815679956717733
"40",58343,"|","Streptomyces canus","|","","|","scientific name","|",12874762,0.0008088190342118
"41",1002546,"|","uncultured Cohaesibacter sp.","|","","|","scientific name","|",12791181,0.000803568303852788
"42",573,"|","Klebsiella pneumoniae","|","","|","scientific name","|",12741464,0.000800444979637248
"43",135621,"|","Pseudomonadaceae","|","","|","scientific name","|",12211689,0.000767163424308338
"44",586,"|","Providencia","|","","|","scientific name","|",12162164,0.000764052161927772
"45",33882,"|","Microbacterium","|","","|","scientific name","|",12061633,0.000757736597699994
"46",670,"|","Vibrio parahaemolyticus","|","","|","scientific name","|",11937815,0.000749958096227265
"47",654,"|","Aeromonas veronii","|","","|","scientific name","|",11814036,0.000742182044814765
"48",587753,"|","Pseudomonas chlororaphis","|","","|","scientific name","|",11684818,0.000734064304233403
"49",83451,"|","Archangium violaceum","|","","|","scientific name","|",11645582,0.000731599417998898
"50",54571,"|","Streptomyces venezuelae","|","","|","scientific name","|",11499038,0.00072239322245528
"51",1485,"|","Clostridium","|","","|","scientific name","|",10934093,0.000686902215376253
"52",1404,"|","Priestia megaterium","|","","|","scientific name","|",10556575,0.000663185758003482
"53",68287,"|","Mesorhizobium","|","","|","scientific name","|",10246732,0.000643720783348628
"54",34073,"|","Variovorax paradoxus","|","","|","scientific name","|",10207966,0.000641285423480985
"55",1224,"|","Pseudomonadota","|","","|","scientific name","|",10191337,0.000640240755492566
"56",164546,"|","Cupriavidus taiwanensis","|","","|","scientific name","|",10166003,0.00063864922149662
"57",1892,"|","Streptomyces anulatus","|","","|","scientific name","|",10021706,0.000629584187115428
